Time,Slider Position (mm),Slider Position (%),Stiffness (Nm/rad),Joint Angle (deg),Joint Angle Velocity (deg/s),Pitch VelocityDesired Position [mm],Motor Encoder (cts),Motor Current,inSwing
5.833131551742554,11.27,19.86,275.00969999999995,-0.02197265625,-0.00732421875,-3.147582697201018,51.12498012402608,142066,1.4975780402598433,False
5.840508937835693,11.69,20.6,279.5043,0.02197265625,0.0,-3.1195928753180664,51.12498012402608,147385,1.1163011758721049,False
5.847862243652344,12.11,21.34,283.9017,0.02197265625,0.02197265625,-3.173027989821883,51.12498012402608,152655,0.1676389013288621,False
5.855205774307251,12.53,22.07,288.4846,0.0,0.00732421875,-3.208651399491094,51.12498012402608,157910,-0.5671926734709424,False
5.86255669593811,12.95,22.82,293.029,0.02197265625,0.00732421875,-3.2366412213740454,51.12498012402608,163206,-1.0613528252305362,False
5.869974374771118,13.37,23.56,297.5734,0.02197265625,0.0,-3.26972010178117,51.12498012402608,168540,-0.30728398689907366,False
5.877352476119995,13.79,24.3,302.4022,0.02197265625,0.0,-3.206106870229007,51.12498012402608,173831,0.2804993745234483,False
5.884699106216431,14.21,25.04,307.0978,0.0,0.00732421875,-3.188295165394402,51.12498012402608,179119,-0.3719809123332387,False
5.892016172409058,14.63,25.78,312.0139,0.06591796875,-0.00732421875,-3.178117048346056,51.12498012402608,184350,-0.7403596527722535,False
5.899372100830078,15.04,26.51,316.74119999999994,0.0,0.0146484375,-3.180661577608143,51.12498012402608,189587,-0.9699686632360927,False
5.9066853523254395,15.46,27.24,321.5838,0.0,-0.00732421875,-3.173027989821883,51.12498012402608,194847,-1.0570241066738952,False
5.91402530670166,15.88,27.98,326.7432,0.02197265625,0.0,-3.0941475826972007,51.12498012402608,200090,-1.0175597363075615,False
5.921353578567505,16.3,28.71,331.737,-0.02197265625,-0.0146484375,-3.0941475826972016,51.12498012402608,205328,-1.063311255076504,False
5.928684711456299,16.72,29.45,336.9828,-0.02197265625,-0.00732421875,-3.0229007633587783,51.12498012402608,210624,-0.996814245762034,False
5.936019659042358,17.14,30.19,342.1236,-0.02197265625,-0.00732421875,-3.1246819338422394,51.12498012402608,215892,-0.9509578508703409,False
5.943406343460083,17.56,30.93,347.466,-0.02197265625,-0.0146484375,-3.180661577608143,51.12498012402608,221196,-1.226954758918518,False
5.950736045837402,17.98,31.67,352.758,-0.02197265625,0.0,-3.3231552162849867,51.12498012402608,226504,-1.637007924991643,False
5.958066463470459,18.4,32.42,358.04999999999995,0.02197265625,0.0,-3.2646310432569976,51.12498012402608,231805,-1.827978734255612,False
5.965399503707886,18.82,33.16,363.62899999999996,-0.0439453125,0.0146484375,-3.2239185750636126,51.12498012402608,237098,-1.8594236018672874,False
5.972771883010864,19.25,33.91,369.1975,0.0,-0.00732421875,-3.206106870229007,51.12498012402608,242453,-1.276721745636297,False
5.980105400085449,19.67,34.65,374.87100000000004,0.02197265625,0.00732421875,-3.2442748091603058,51.12498012402608,247762,-0.4469561237027047,False
5.987504005432129,20.09,35.4,380.457,0.02197265625,0.0,-3.26972010178117,51.12498012402608,253099,-0.2397099961646107,False
5.994828224182129,20.52,36.14,386.3632,-0.02197265625,0.02197265625,-3.211195928753181,51.12498012402608,258412,-0.19997243969364698,False
6.002147197723389,20.94,36.88,392.10040000000004,-0.0439453125,-0.00732421875,-3.2061068702290076,51.12498012402608,263710,0.14957295572334817,False
6.009505271911621,21.36,37.63,397.8376,-0.02197265625,-0.02197265625,-3.2035623409669207,51.12498012402608,269022,0.18398151447347127,False
6.016878604888916,21.78,38.37,403.85560000000004,-0.02197265625,-0.0146484375,-3.2748091603053435,51.12498012402608,274362,-0.01402702311556073,False
6.0242085456848145,22.21,39.12,409.8842,0.0,0.0,-3.2340966921119594,51.12498012402608,279669,-0.3843431296751517,False
6.03155517578125,22.63,39.86,415.9868,0.02197265625,0.0146484375,-3.2366412213740454,51.12498012402608,284985,-0.9921352818995397,False
6.0389556884765625,23.06,40.61,422.1616,0.0,0.0146484375,-3.1908396946564888,51.12498012402608,290368,-0.36182445950071584,False
6.046294450759888,23.48,41.36,428.19280000000003,-0.0439453125,0.00732421875,-3.1450381679389317,51.12498012402608,295692,0.9113058138940922,False
